code,title,year,genres,rating,cast
tt1375789,Race 2,2013,"Action,Crime,Thriller",5.4,"Saif Ali Khan, Anil Kapoor, John Abraham, Deepika Padukone, Jacqueline Fernandez"
tt1376213,The Adventurer: The Curse of the Midas Box,2013,"Adventure,Family,Fantasy",5.5,"Aneurin Barnard, Michael Sheen, Lena Headey, Sam Neill, Ioan Gruffudd"
tt1376717,Play,2011,Drama,7.1,"Anas Abdirahman, Sebastian Blyckert, Yannick Diakité, Sebastian Hegmar, Abdiaziz Hilowle"
tt1379177,The Disappearance of Alice Creed,2009,"Crime,Thriller",6.7,"Gemma Arterton, Eddie Marsan, Martin Compston"
tt1379182,Dogtooth,2009,"Drama,Thriller",7.1,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Christos Passalis, Mary Tsoni"
tt13793230,Jaadugar,2022,"Comedy,Drama,Fantasy",6.8,"Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi, Raksha Panwar, Raj Qushal"
tt13795296,Thank God,2022,Comedy,5.6,"Sidharth Malhotra, Ajay Devgn, Rakul Preet Singh, Mahesh Balraj, Kanwaljeet Singh"
tt13801462,Gandhi Godse Ek Yudh,2023,"Drama,History",6.7,"Deepak Antani, Chinmay Mandlekar, Tanisha Santoshi, Anuj Saini, Pawan Chopra"
tt13804084,Justice Society: World War II,2021,"Action,Adventure,Animation",6.4,"Stana Katic, Matt Bomer, Matt Bomer, Omid Abtahi, Geoffrey Arend"
tt1381404,The Company You Keep,2012,"Drama,Thriller",6.4,"Robert Redford, Robert Redford, Brit Marling, Stanley Tucci, Nick Nolte"
tt1381418,You May Not Kiss the Bride,2011,"Action,Comedy,Crime",5.4,"Dave Annable, Katharine McPhee, Rob Schneider, Mena Suvari, Kathy Bates"
tt1381505,Father of Invention,2010,"Comedy,Drama",5.7,"Kevin Spacey, Camilla Belle, Heather Graham, Johnny Knoxville, Anna Schafer"
tt13818368,Fighter,2024,"Action,Drama",6.2,"Hrithik Roshan, Deepika Padukone, Anil Kapoor, Karan Singh Grover, Akshay Oberoi"
tt13822738,The Takedown,2022,"Action,Comedy,Crime",5.8,"Omar Sy, Laurent Lafitte, Izïa Higelin, Dimitri Storoge, Stéphane Pezerat"
tt13825336,Good Luck Jerry,2022,"Comedy,Crime,Drama",5.5,"Janhvi Kapoor, Jaswant Dalal, Deepak Dobriyal, Nazibur Rahman Yeamin, Mita Vashisht"
tt1382725,The Round Up,2010,"Drama,History,War",7.1,"Jean Reno, Mélanie Laurent, Gad Elmaleh, Raphaëlle Agogué, Hugo Leverdez"
tt13833688,The Whale,2022,Drama,7.6,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau, Samantha Morton"
tt13834006,Stuck Together,2021,Comedy,6.3,"Dany Boon, François Damiens, Laurence Arné, Yvan Attal, Alison Wheeler"
tt13841850,Men,2022,"Drama,Fantasy,Horror",6.0,"Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin, Sarah Twomey"
tt13845438,Naane Varuvean,2022,Thriller,6.1,"Dhanush, Dhanush, Prabhu, Indhuja Ravichandran, Elli Avrram"
tt13849558,Corner Office,2022,"Comedy,Mystery",6.1,"Jon Hamm, Danny Pudi, Sarah Gadon, Christopher Heyerdahl, Allison Riley"
tt1385824,13B: Fear Has a New Address,2009,"Horror,Mystery,Thriller",7.4,"Madhavan, Nitu Chandra, Poonam Dhillon, Saranya Ponvannan, Sachin Khedekar"
tt1385826,The Adjustment Bureau,2011,"Crime,Drama,Mystery",7.0,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner, Michael Kelly"
tt1385867,Cop Out,2010,"Action,Comedy,Crime",5.5,"Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez, Jason Hurt"
tt1385912,I Can Do Bad All by Myself,2009,"Comedy,Drama",4.8,"Tyler Perry, Tyler Perry, Taraji P. Henson, Adam Rodriguez, Brian White"
tt1386588,The Other Guys,2010,"Action,Comedy,Crime",6.7,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes, Michael Keaton"
tt1386683,A Somewhat Gentle Man,2010,"Comedy,Crime,Drama",6.9,"Stellan Skarsgård, Bjørn Floberg, Jorunn Kjellsby, Gard B. Eidsvold, Jannike Kruse"
tt1386691,Shimmer Lake,2017,"Action,Comedy,Crime",6.3,"Benjamin Walker, Rainn Wilson, Stephanie Sigman, John Michael Higgins, Mark Rendall"
tt1386697,Suicide Squad,2016,"Action,Adventure,Fantasy",5.9,"Will Smith, Jared Leto, Margot Robbie, Viola Davis, Jaime FitzSimons"
tt1386703,Total Recall,2012,"Action,Adventure,Sci-Fi",6.2,"Colin Farrell, Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale"
tt1386925,The Dead,2010,"Action,Adventure,Drama",5.7,"Rob Freeman, Prince David Osei, David Dontoh, Ben Crowe, Glenn Salvage"
tt1386932,Ip Man 2,2010,"Action,Biography,Drama",7.5,"Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung, Lynn Xiong, Kent Cheng"
tt13872248,The Sadness,2021,"Horror,Thriller",6.5,"Berant Zhu, Regina Lei, Ying-Ru Chen, Tzu-Chiang Wang, Emerson Tsai"
tt13873302,Against the Ice,2022,"Adventure,Drama,History",6.5,"Nikolaj Coster-Waldau, Joe Cole, Heida Reed, Þorsteinn Bachmann, Charles Dance"
tt13874422,The Eternal Daughter,2022,"Drama,Mystery",5.9,"Tilda Swinton, Tilda Swinton, Louis, August Joshi, Carly-Sophia Davies"
tt13878694,Maarrich,2022,"Crime,Mystery,Thriller",6.3,"Tusshar Kapoor, Chelsha Gosai, Aakash Dahiya, Rahul Dev, Rushil Jain"
tt13880104,Happening,2021,Drama,7.4,"Anamaria Vartolomei, Kacey Mottet Klein, Luàna Bajrami, Louise Orry-Diquéro, Louise Chevillotte"
tt1388418,Deportees,2007,"Action,Comedy,Drama",5.0,"Kambiz Dirbaz, Arzhang Amirfazli, Akbar Abdi, Alireza Osivand, Amin Hayayee"
tt13885320,India Lockdown,2022,Drama,7.1,"Prateik Patil Babbar, Sai Tamhankar, Shweta Basu Prasad, Prakash Belawadi, Aahana Kumra"
tt13885428,Anweshippin Kandethum,2024,"Crime,Drama,Mystery",7.4,"Tovino Thomas, Vineeth Thattil David, Rahul Rajagopal, Pramod Velliyanad, Siddique"
tt1389072,Downsizing,2017,"Drama,Fantasy,Sci-Fi",5.8,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig, Rolf Lassgård"
tt1389096,Stand Up Guys,2012,"Comedy,Crime,Thriller",6.4,"Al Pacino, Christopher Walken, Alan Arkin, Julianna Margulies, Mark Margolis"
tt1389127,Texas Killing Fields,2011,"Crime,Drama,History",5.7,"Sam Worthington, Jeffrey Dean Morgan, Chloë Grace Moretz, Jessica Chastain, Jason Clarke"
tt1389137,We Bought a Zoo,2011,"Comedy,Drama,Family",7.0,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Elle Fanning, Colin Ford"
tt1389139,When the Bough Breaks,2016,"Drama,Thriller",5.2,"Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams, Glenn Morshower"
tt13899570,Kannagi,2023,"Drama,Romance",6.5,"Keerthi Pandian, Ammu Abhirami, Vidya Pradeep, Shalini Zoya, Mayilsamy"
