code,poster,plot
tt1371111,https://image.tmdb.org/t/p/w500/8naVv2Xu3rWI5JKHz0vCujx6GaJ.jpg,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis."
tt1371150,https://image.tmdb.org/t/p/w500/rVUI2267FdetVWz9UBQbqTmRVhQ.jpg,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways."
tt1371155,https://image.tmdb.org/t/p/w500/vzLlaNmzzhYFLAOn6ELiCUKubl9.jpg,"A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination."
tt1371574,https://image.tmdb.org/t/p/w500/3vVT3FvGZ9l97cUUrDoQnqzdI9p.jpg,"Kosmos is a thief and a miracle-worker. He appears one morning in a tiny, snowbound border village where he is welcomed with open arms – on account of arriving just in time to resuscitate a small boy who would otherwise have drowned."
tt1371630,https://image.tmdb.org/t/p/w500/kLTNYdKFkH5kANF8QnVvLZNeWeN.jpg,"A life-size, inflatable sex doll suddenly comes to life one day. Without her owner knowing, she goes for a walk around town and falls in love with Junichi. She starts to date Junichi and gets a job at the same store where he works. Everything seems to be going perfectly for her until something unexpected happens."
tt13717980,https://image.tmdb.org/t/p/w500/6fhqb5JegWJGMuomR3Jqmo0Skqn.jpg,"Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues."
tt13721828,https://image.tmdb.org/t/p/w500/9YTuscJXmr9Iua62amCgGSU8PDW.jpg,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her."
tt13723064,https://image.tmdb.org/t/p/w500/4GGF9oW3b8qqjvig3n8Qftl4P1Q.jpg,"A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome."
tt1372686,https://image.tmdb.org/t/p/w500/6W6In8IUJMkxB8aBipulho6QLDd.jpg,"Caius Martius, aka Coriolanus, is an arrogant and fearsome general who has built a career on protecting Rome from its enemies. Pushed by his ambitious mother to seek the position of consul, Coriolanus is at odds with the masses and unpopular with certain colleagues. When a riot results in his expulsion from Rome, Coriolanus seeks out his sworn enemy, Tullus Aufidius. Together, the pair vow to destroy the great city."
tt1373120,https://image.tmdb.org/t/p/w500/9ZPPjSoPWN4BPea2h8sd6L7skSI.jpg,"Sang-hoon is a lowlife gangster, a debt collector exercising thuggish ways to collect his money. The recipient of nothing but anger since his childhood, he expresses himself through violence. When he finally encounters someone who can stand up to him, feisty school-girl Yoon-hee they become unlikely friends."
