code,title,year,genres,rating,cast,poster,plot
tt9074574,Dogs Don't Wear Pants,2019,"Drama,Romance",6.8,"Pekka Strang, Ester Geislerová, Ellen Karppo, Armands Reinis, Jani Volanen",https://image.tmdb.org/t/p/w500/2AKcz5RwvtmoqNUtrmvAHrWYItI.jpg,"Juha has lost his wife in an accident. Years after, he still feels numb and unable to connect with people. Meeting Mona, a dominatrix, changes everything."
tt9076562,Irresistible,2020,"Comedy,Drama",6.3,"Steve Carell, Rose Byrne, Chris Cooper, Brent Sexton, Will Sasso",https://image.tmdb.org/t/p/w500/hUpYDriYa5YkwwxeafUsowTweBg.jpg,"A Democratic political consultant helps a retired Marine colonel run for mayor in a small, conservative Wisconsin town."
tt9082020,Cold Blood,2019,"Action,Thriller",4.6,"Jean Reno, Sarah Lind, Joe Anderson, David Gyasi, Ihor Ciszkewycz",https://image.tmdb.org/t/p/w500/uGMIxhhMvQEE0mNlATXpEAG4mgl.jpg,"A legendary but retired hit man lives in peace and isolation in the barren North American wilderness. When he rescues a woman from a snowmobiling accident, he soon discovers that she's harboring a secret that forces him to return to his lethal ways."
tt9086228,Gretel & Hansel,2020,"Fantasy,Horror,Mystery",5.5,"Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw, Fiona O'Shaughnessy",https://image.tmdb.org/t/p/w500/mBBBXseq4k4dI63k06XIrsc02j8.jpg,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil."
tt9089294,The Seven Deadly Sins: Prisoners of the Sky,2018,"Action,Adventure,Animation",7.0,"Yûki Kaji, Sora Amamiya, Misaki Kuno, Aoi Yûki, Tatsuhisa Suzuki",https://image.tmdb.org/t/p/w500/63NOOAkaZAK8h93Sg7Ucq6XLJGP.jpg,"Traveling in search of the rare ingredient, “sky fish”  Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony, meant to protect their home from a ferocious beast that awakens once every 3,000 years. But before the ritual is complete, the Six Knights of Black—a Demon Clan army—removes the seal on the beast, threatening the lives of everyone in the Sky Palace."
tt9098938,Sharmaji Namkeen,2022,"Comedy,Drama,Family",7.5,"Rishi Kapoor, Paresh Rawal, Juhi Chawla, Isha Talwar, Sheeba Chaddha",https://image.tmdb.org/t/p/w500/xve92SlbFCl4eEESx78eutq6rjo.jpg,"Late Rishi Kapoor in his swansong plays B. G. Sharma, a 58-year old middle-class widower living in West Delhi. After being laid off from the company he has worked for his entire life, Sharmaji struggles to deal with the beast called retirement. His struggle to stay relevant in front of his two sons finally ends when he rekindles his love for cooking through a kitty party. A bunch of merry women rekindle in Sharma, a passion for cooking and chutzpah in general, that help him find his true calling."
tt9100018,Cobweb,2023,"Horror,Mystery,Thriller",5.9,"Lizzy Caplan, Antony Starr, Cleopatra Coleman, Woody Norman, Luke Busey",https://image.tmdb.org/t/p/w500/cGXFosYUHYjjdKrOmA0bbjvzhKz.jpg,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness."
tt9100054,The Lost Daughter,2021,Drama,6.7,"Olivia Colman, Jessie Buckley, Dakota Johnson, Ed Harris, Peter Sarsgaard",https://image.tmdb.org/t/p/w500/t1oLNRFixpFOVsyz1HCqCUW3wiW.jpg,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.
tt9109306,The Final Wish,2018,Horror,4.3,"Lin Shaye, Michael Welch, Melissa Bolona, Spencer Locke, Tony Todd",https://image.tmdb.org/t/p/w500/181zwXeXcRrBWkF5OFt3d1GhDpW.jpg,"Following the passing of his father, Aaron Hammond returns to his hometown to help his devastated mother and to confront his past demons. Sifting through his father’s belongings, Aaron comes upon a mysterious item that is far more than it seems."
tt9110170,Wrong Turn,2021,"Horror,Thriller",5.6,"Charlotte Vega, Adain Bradley, Bill Sage, Emma Dumont, Dylan McTee",https://image.tmdb.org/t/p/w500/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life."
